A,B,C,D,E
0.2259850097575868,0.14934311452207608,0.015547845714458775,-0.2741679770137871,0.23994971032820966
0.20312201657031814,-0.12590655321041203,0.0946741419087645,-0.10633507711102913,-0.0647456484120703
0.1457702044479583,0.15139237747390627,0.05254406580225117,-0.02794160851205242,0.16106504557914264
0.010960374584009502,0.13458754237823045,0.1626025140947578,0.1008534224186555,0.1426360735739982
0.2106242269884558,0.07813114007004275,0.004932704663547477,-0.009496349736809344,0.09952861328991544
0.20342662680192714,0.026445563032930355,0.20455528126406777,-0.04983264426377566,0.05267409473501619
0.24073652151801453,-0.03139228145364278,-0.012800500465735856,-0.11410696433052608,-0.0605021094627792
-0.15450813541287955,0.14580206835369589,-0.07922784759084839,0.08228472641163319,-0.07585828476409663
0.1097917194845097,0.19602583164499648,0.33246864604580995,-0.025684330606486713,0.14278797071730684
-0.13873944647346778,0.18016348698661253,0.0004743931478017466,0.1932831311335892,0.0608705695461501
0.025843855811945825,0.131510376473437,-0.007940502206261899,-0.02908677738258121,0.2111172504674937
0.17549773683122022,0.0357380410658956,0.019726466270591565,-0.13964738763285814,-0.0008589030558311533
-0.18682796741442695,-0.12083186322821715,-0.050602654710027395,0.2162163774239529,-0.08638168116202682
0.0814709247140083,-0.0004454133120083229,0.06049303278307495,0.016118705211758684,-0.08530978867166762
0.03509794715785239,0.06564749350763359,-0.0919450110142259,-0.0648806453326661,0.00040377779118244694
-0.1995381745537253,-0.12883614637495544,0.0252201604990466,0.1684910317020182,-0.10215768458385462
-0.16481214501551156,0.039512206018200824,0.021692543549759663,0.08593067529260345,-0.11756091814007544
-0.032515670281025706,0.04298636948222301,-0.03227967114633336,-0.06315792400186543,0.06376877065051637
0.10803193174521755,0.06960427239628685,0.04010041425145649,0.0178712180019112,0.04396081682538071
-0.23428915323000093,-0.11841179667571891,-0.19741207481497236,0.18063049102601403,-0.2114039244601767
-0.1734943099799972,-0.0661702572039035,0.07681661273510704,0.2665397632514854,-0.2916991450352865
0.0225771254791495,-0.043643524714322125,-0.06117103467228917,-0.1642037320136276,0.01708976058498657
-0.4582411412181959,-0.11698019077728641,-0.11100287798210737,0.23769583583601264,-0.12146800394682016
-0.22142624875901903,0.1739367877130134,-0.06149819299258444,0.10199452143274992,0.08336133358645154
0.11442332096281566,-0.04959107284421519,-0.0684115409084719,-0.01468328537529125,-0.06249364762918344
0.33916614053483307,0.03289696294602021,0.11160432701325082,-0.2058042053648696,0.20743800607731072
0.13754457341284876,-0.025857254547392402,0.06312172410543555,-0.0895800197234973,-0.02525155019425173
-0.05944895182237226,0.15834728788021224,0.010776881501613433,-0.018219805012107418,0.13280231574768026
-0.03433508147276676,0.13203609870818392,-0.043020492596785864,0.011669673574810052,-0.04519422441772723
0.16058490173001477,0.06333526228249152,-0.02569856683569706,-0.19415225676725048,0.21438719865498387
-0.11867882254934836,-0.22035098806466508,-0.12654924025241915,0.05577946522318518,-0.08100097110204478
-0.14228472434969885,0.005202897425988651,0.33549153585266595,-0.034120482161767995,0.11077243065573825
-0.0020786036267374935,0.06836861907765344,0.13569163350302965,-0.0533225330666446,0.0583665934000153
-0.013613035342102066,0.10039615758421697,0.014003407149561956,-0.0022923222833708956,0.17037360371689736
-0.0025313934818955997,-0.061790704470760086,-0.13987708466488263,0.12219859204819597,-0.011347713073443802
0.1988060755267395,0.18220113633283233,0.012860821434409017,-0.17818605328534767,0.20416012928814123
0.1553749185677452,-0.13204309700132935,-0.06638792509026249,-0.029619501501864383,-0.11873784488079994
-0.26529791457100155,-0.0661528021815219,-0.10429122798686903,0.2010292674803615,-0.1992509689903287
-0.010503964026017493,0.09350499881140222,0.020856096864524498,-0.010075574549302607,0.17619106017657143
-0.5906969873376079,0.004905461382531166,-0.23122892120503824,0.14841188076901882,-0.18965020226773316
-0.007924834754710508,0.20023925836452552,0.21416436375690528,0.10044967379676531,0.13298899957525728
0.16333909931784352,0.01885191925124656,0.04210043273609472,-0.09841267205706103,-0.005672806583411837
0.22024178571775938,-0.06331940901922267,-0.12070747404326519,-0.06977397699556566,-0.15392687754830114
0.07220628766960034,-0.03775635052328083,-0.0049146844478089174,-0.12080269579753014,0.031712260984368565
-0.05773341421785814,-0.10911461176191956,-0.11005344004879275,0.042506761186981594,-0.10557614918756719
-0.12107890072242554,-0.1277680166386608,-0.3714072498617524,-0.030958198356838197,-0.14385382346282605
-0.009489899019547832,0.06304114907682319,0.06641165011280975,-0.0926214360049238,0.10140688757847294
-0.01893073640908665,0.05811658124128058,-0.10818801543363187,-0.0754765860237438,-0.002095929958850995
0.14692624010626032,0.1294558819441117,0.0297444847324269,-0.1732105313453082,0.2403882333831698
